x,y
135.164,-17.4445
123.748,-11.4161
121.024,-2.72387
127.628,6.60389
142.018,14.3908
160.838,18.8198
179.696,18.8575
194.191,14.4952
200.942,6.75061
198.372,-2.56909
187.083,-11.2893
169.708,-17.3754
150.301,-19.4072
133.39,-16.9107
122.922,-10.4683
121.338,-1.58334
129.009,7.67107
144.145,15.1356
163.213,19.0684
181.765,18.552
195.472,13.7067
201.135,5.66327
197.434,-3.70163
185.231,-12.2028
167.374,-17.8567
148.03,-19.344
131.712,-16.3177
122.229,-9.48394
121.791,-0.437264
130.503,8.71144
146.33,15.8275
165.581,19.2504
183.762,18.1816
196.633,12.8704
201.189,4.55614
196.368,-4.82125
183.294,-13.0737
165.018,-18.2756
145.805,-19.2132
130.137,-15.6677
121.671,-8.46644
122.381,0.710335
132.103,9.72137
148.567,16.4641
167.932,19.3652
185.68,17.7477
197.669,11.9891
201.102,3.4331
195.178,-5.92401
181.279,-13.8989
162.648,-18.6306
143.633,-19.0153
128.67,-14.963
121.251,-7.41936
123.106,1.85545
133.804,10.6973
150.847,17.0432
170.259,19.4122
187.511,17.2518
198.577,11.066
200.875,2.29805
193.869,-7.00607
179.193,-14.6754
160.273,-18.9206
141.522,-18.7509
127.316,-14.206
120.97,-6.34635
123.964,2.99409
135.6,11.6359
153.162,17.5627
172.554,19.3915
189.249,16.6956
199.353,10.1041
200.508,1.15497
192.445,-8.06365
177.044,-15.4008
157.9,-19.1444
139.479,-18.4209
126.079,-13.3993
120.828,-5.25116
124.95,4.12226
137.484,12.5338
155.505,18.0208
174.808,19.303
190.889,16.0811
199.996,9.10694
200.004,0.00786072
190.911,-9.09306
174.839,-16.0723
155.537,-19.3013
137.511,-18.0266
124.965,-12.5458
120.827,-4.13762
126.063,5.23602
139.451,13.3879
157.867,18.416
177.014,19.147
192.424,15.4103
200.502,8.07795
199.363,-1.13928
189.272,-10.0907
172.585,-16.6876
153.194,-19.3907
135.625,-17.5694
123.976,-11.6485
120.967,-3.00962
127.298,6.33149
141.493,14.1952
160.24,18.7468
179.164,18.9241
193.85,14.6857
200.871,7.02073
198.588,-2.28244
187.535,-11.053
170.291,-17.2446
150.878,-19.4124
133.828,-17.0507
123.117,-10.7104
121.246,-1.8711
128.651,7.40483
143.604,14.953
162.616,19.0121
181.251,18.635
195.161,13.9098
201.1,5.93898
197.682,-3.41762
185.705,-11.9768
167.964,-17.7414
148.598,-19.3663
132.125,-16.4724
122.39,-9.73497
121.664,-0.726046
130.117,8.45229
145.775,15.6584
164.986,19.2109
183.267,18.2809
196.352,13.0853
201.189,4.83647
196.648,-4.54086
183.789,-12.8587
165.613,-18.1761
146.36,-19.2525
130.524,-15.8366
121.798,-8.72549
122.22,0.421547
131.69,9.47022
147.999,16.3092
167.342,19.3427
185.205,17.8629
197.42,12.215
201.137,3.71707
195.489,-5.64823
181.793,-13.6956
163.246,-18.5473
144.174,-19.0714
129.029,-15.1454
121.344,-7.68551
122.911,1.56767
133.366,10.4551
150.269,16.9029
169.676,19.4068
187.058,17.3824
