x,y
161.016,0.0197822
161.031,0.0154622
161.039,0.0076783
161.037,-0.00163769
161.027,-0.010261
161.011,-0.0162027
160.993,-0.0181656
160.977,-0.0158245
160.967,-0.00986907
160.965,-0.00180934
160.971,0.00640392
160.984,0.0128491
161,0.0160814
161.016,0.0154536
161.027,0.0112409
161.032,0.0045457
161.029,-0.00298696
161.019,-0.00957158
161.005,-0.0137033
160.991,-0.0144999
160.979,-0.0118866
160.972,-0.00658692
160.972,7.30904e-05
160.979,0.00649405
160.99,0.0111857
161.003,0.013111
161.015,0.0119128
161.023,0.00797497
161.025,0.00230755
161.022,-0.00370939
161.013,-0.00866023
161.002,-0.0114253
160.99,-0.0114323
160.981,-0.00877158
160.977,-0.00415281
160.979,0.001281
160.985,0.00623477
160.994,0.00956864
161.005,0.0105587
161.014,0.00905206
161.019,0.00548349
161.02,0.000754396
161.016,-0.00399309
161.009,-0.00765061
160.999,-0.00940106
160.99,-0.00889959
160.984,-0.00633826
160.982,-0.00238338
160.984,0.00199579
160.989,0.0057633
160.997,0.00806046
161.006,0.00840028
161.013,0.0067687
161.016,0.00361214
161.016,-0.000282027
161.012,-0.00398059
161.005,-0.00662706
160.998,-0.007639
160.991,-0.00683478
160.986,-0.00446258
160.985,-0.00112819
160.988,0.0023583
160.993,0.0051783
160.999,0.00669603
161.006,0.00660077
161.011,0.0049685
161.013,0.00223132
161.012,-0.000935261
161.009,-0.00377806
161.003,-0.00564455
160.997,-0.00613177
160.992,-0.00517199
160.989,-0.00303741
160.988,-0.000265259
160.991,0.00247639
160.995,0.00454882
161.001,0.00549078
161.006,0.00512016
161.009,0.00356719
161.011,0.00123364
161.009,-0.00130997
161.006,-0.00346314
161.001,-0.00473647
160.996,-0.00486217
160.993,-0.00384919
160.991,-0.00197182
160.991,0.000303059
160.993,0.00243139
160.997,0.00392146
161.002,0.00444685
161.006,0.00391713
161.008,0.00249107
161.009,0.000531293
161.007,-0.00148712
161.004,-0.00309126
